/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-8g4q-xg66-9fp4
/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-hh2w-p6rv-4g7w
/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-8g4q-xg66-9fp4
/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-hh2w-p6rv-4g7w
CUSTOMER_NAME	Address	City	State	Zip
Medicine Tree LLC	2046 OR HWY 99 STE A	MCMINNVILLE	OR	97128
Floyd's Fine Cannabis on Broadway	801 NE BROADWAY	PORTLAND	OR	97232
Tamerans Dispensary (DF)	3388 MERLIN RD.	GRANTS PASS	OR	97526
satchel	6900 N. INTERSTATE AVENUE	PORTLAND	OR	97217
Local Herb Collective	15948 SE DIVISION	PORTLAND	OR	97236
Lincoln City Collective (DF)	1266 SW 50TH ST	LINCOLN CITY	OR	97367
ReLeaf Health	3213 NE MARTIN LUTHER KING JR BLVD	PORTLAND	OR	97212
Tetra	4011 SE BELMONT ST.	PORTLAND	OR	97214
Hotbox Farms	P.O. Box 592	Ontario	OR	97914
Hotbox Farms	325 NE goodfellow st	Ontario	OR	97914
Oregons Finest - Pearl	911 NW 14th Ave	Portland	OR	97209
Kingston Cannabis Company (DF)	2366 Ashland St.	Ashland	OR	97520
Kingston Cannabis Company (DF)	1544 NEWMARK AVENUE	COOS BAY	OR	97420
Attis Trading Company (Cully)	4920 NE CULLY BLVD	PORTLAND	OR	97218
The Dispensary on 52nd	4452 SE 52ND AVE	PORTLAND	OR	97206
Folium Originals	20930 S Harris Road	Oregon City	OR	97045
Hashstoria (DF)	"229 W MARINE DR	 #C"	OR	OR
Oregrown Portland	111 NE 12TH AVENUE SUITE A	PORTLAND	OR	97110
Knotty Leaves (DF)	769 N MAIN SUITE C	INDEPENDENCE	OR	97351
GM Dispensary (SP)	12745 SW WALKER RD. STE 100A	BEAVERTON	OR	97005
Broadway Cannabis Market - Beaverton	9952 SW BEAVERTON HILLSDALE HIGHWAY	BEAVERTON	OR	97005
Broadway Cannabis Market - Beaverton	219 SW Broadway	Portland	OR	97205
Zuni Farm Stand (DF)	3540 B Demaray Dr	Grants Pass	OR	97527
The Lucky Leaf (DF)	208 JERSEY ST	SILVERTON	OR	97381
Fyre	2650 NE DIVISION ST	BEND	OR	97703
Portland Best Buds	6313B N. LOMBARD ST	PORTLAND	OR	97203
Natural Wonders	3831 SE MAIN ST.	PORTLAND	OR	97214
MOSS CROSSING (DF)	2751 FRIENDLY ST.	EUGENE	OR	97405
Madrone Cannabis Club	481 APPLEGATE WAY	ASHLAND	OR	97520
Kind Heart Collective	8217 N DENVER AVE	PORTLAND	OR	97217
Buzz Box	6611 SE POWELL BLVD	PORTLAND	OR	97206
Green Health Eugene (DF)	607 HIGHWAY 99 N	EUGENE	OR	97402
Chalice Farms	"13315 NE AIRPORT WAY	 700A"	OR	OR
Arcanna	4605 NE FREMONT SUITE 105	PORTLAND	OR	97213
Cafe Verde (DF)	2455 ROGUE RIVER HIGHWAY	GRANTS PASS	OR	97526
Hyroot Organics	52410 RIVER PINE RD	LA PINE	OR	97739
House of Leaves Medford (Nectar)	259 E BARNETT RD #1	MEDFORD	OR	97501
The Flower Room	817 NW HILL STREET	BEND	OR	97703
High 5 Cannabis (DF)	86531 COLLEGE VIEW ROAD	EUGENE	OR	97405
Hierba Buena (DF)	3674 PACIFIC HWY	HUBBARD	OR	97032
HGR2	7314 3RD ST SE	TURNER	OR	97392
Hash it out (DF)	1080 w central blvd	Coquille	OR	97423
TJ's on Powell	7827 SE POWELL BLVD	PORTLAND	OR	97206
Emerald Triangle (DF)	103 N PACIFIC HWY UNITS B & C	TALENT	OR	97540
green stop meds	17030 SE MCLOUGHLIN BLVD	PORTLAND	OR	97267
Grasslands Dispensary (DF)	154 LAWRENCE ST	EUGENE	OR	97401
Gram Central Station	6430 NE MARTIN LUTHER KING JR BLVD	PORTLAND	OR	97211
Going Green Grand Ronde (DF)	8675 FORT HILL RD.	WILLAMINA	OR	97396
A Prime Leaf (DF)	2974 12TH ST SE	SALEM	OR	97302
FLOWR OF LYFE (DF)	114 WEST BROADWAY	EUGENE	OR	97401
Eugreen Health Center; Verde (DF)	1000 OBIE STREET SUITE A	EUGENE	OR	97402
Floyd's Fine Cannabis on Division (CT)	10561 SE Division st	portland	OR	97216
Emerald City Medicinal (DF)	1474 WEST 6TH AVENUE	EUGENE	OR	97402
Dub Hub	13122 SE Divison St	Portland	OR	97236
Dreams Dispensary (DF)	1000 Obie St	Eugene	OR	97402
Doctor's Orders	3424 NE 82ND AVE	PORTLAND	OR	97220
Gnome Grown Oregon	5012 NE 28TH AVE	PORTLAND	OR	97211
Mongoose Cannabis	3123 SE BELMONT ST.	PORTLAND	OR	97214
The House of Dank LLC (DF)	379 FIR AVE UNITS 6-8	REEDSPORT	OR	97467
Kings of Canna	1465 NE PRESCOTT STE C	PORTLAND	OR	97211
Cured Green	3715 N LOMBARD ST STE. B	PORTLAND	OR	97217
Crush Cannabis	2345 CENTER ST. NE	SALEM	OR	97301
Coastal High Ways (DF)	"2233 Broadway Ave	 	OR	North Bend
Club Sockeye (DF)	29970 ELLENSBURG AVE	GOLD BEACH	OR	97444
The Holistic Coop LLC (DF)	1049 E MAIN ST	COTTAGE GROVE	OR	97424
Central Organics	780 SW 4TH ST	MADRAS	OR	97741
Capitol Green Leaf	1890 CAPITOL ST NE	SALEM	OR	97301
Cannabis On Time (Discount Cannabis)(DF)	1985 W. 7th Ave.	Eugene	OR	97402
Blooming Deals By Cannabis Nation	15915 NW SCHENDEL AVE #104	BEAVERTON	OR	97006
Cannabend	3312 N HIGHWAY 97	BEND	OR	97703
TJ's on 7th (DF)	1985 W 7th Ave	Eugene	OR	97402
Buds 4 U	10778 HIGHWAY 126	MAPLETON	OR	97453
Buds 4 U	72217 HWY101	LAKESIDE	OR	97449
Buds 4 U	1480 Rhododendron Drive	Florence	OR	97439
Budding Culture	6802 NE BROADWAY ST	PORTLAND	OR	97213
BUD BROS LLC (DF)	335 SOUTH REDWOOD HIGHWAY	CAVE JUNCTION	OR	97523
Kaya Shack	1719 SE HAWTHORNE BLVD	PORTLAND	OR	97214
The Green Planet	25496 S HWY 99 E	AURORA	OR	97002
The Farmacy LLC (DF)	2911 MARINE DR. SUITE B	ASTORIA	OR	97103
Crush Cannabis	1026 Commercial St NE	Salem	OR	97301
RVC West Main (DF)	2060 WEST MAIN ST	MEDFORD	OR	97501
Mana Extracts	8009 N Kerby Ave	Portland	OR	97217
BLOOMINATI CANNABIS CORP (DF)	240 SW WASHINGTON AVE	CORVALLIS	OR	97333
BLOOMINATI CANNABIS CORP (DF)	2420 Pacific Ave	Forest Grove	OR	97116
Blazen Cannabis (DF)	800 HIGHWAY 20 S	HINES	OR	97738
Blackbird Crow (DF)	593 JACKSON ST E	MONMOUTH	OR	97361
Floyds Fine Cannabis on Nicolai	2515 NW NICOLAI	PORTLAND	OR	97210
Be Wonderful Wellness Center LLC	4565 NE 60TH AVE.	PORTLAND	OR	97218
Bernie's Universal Dispensaries (DF)	3842 S COAST HWY	SOUTH BEACH	OR	97366
Belmont Collective	2036 SE BELMONT ST	PORTLAND	OR	97214
Beatnick's Finest (DF)	126 SW AVERY AVE	CORVALLIS	OR	97333
Brothers Cannabis	3609 SE DIVISION ST	PORTLAND	OR	97202
Brothers Cannabis	3609 SE DIVISION ST	Portland	OR	97202
Mother Earth Medicines (DF)	36 S. RIVERSIDE AVENUE	MEDFORD	OR	97501
Budlandia	8135 SE WOODWARD ST	PORTLAND	OR	97206
Green Goddess Remedies	5435 SW TAYLOR'S FERRY RD	PORTLAND	OR	97219
Floyd's Fine Cannabis on Sandy	5944 NE SANDY BLVD	PORTLAND	OR	97213
Alternative Remedies	8109 SE FLAVEL	PORTLAND	OR	97206
Floyd's Fine Cannabis - SE 28th	5217 SE 28TH AVE	PORTLAND	OR	97202
Albany Alternative Health Solutions	820 PACIFIC BLVD SE B	ALBANY	OR	97321
The Dime Store Cannabis	8218 SE HOLGATE BLVD.	PORTLAND	OR	97266
Alternative Solutions	13560 SE POWELL BLVD.	PORTLAND	OR	97236
Rogue Valley Cannabis - West Main St. (DF)	2060 West Main St	Medford	OR	97501
West	480 HWY101 SOUTH	ROCKAWAY BEACH	OR	97136
Weed Land Inc	4027 N INTERSTATE AVE	PORTLAND	OR	97227
Weed Bucks (DF)	437 S Central Ave	Medford	OR	97501
Weed Bucks (DF)	330 Galice Rd	Merlin	OR	97532
vernonia's natural choice (DF)	736 BRIDGE STREET STE 1 PO BOX 385	VERNONIA	OR	97064
Tokyo South	61230 S HWY 97	BEND	OR	97702
Tokyo South	923 SE 3RD ST.	BEND	OR	97702
Tokyo South	542 NW Arizona Ave.	Bend	OR	97701
Kush Cart	"5100 SE HARNEY DR SUITES 237	 238	OR	PORTLAND
Weedology	591 EAST IDAHO	ONTARIO	OR	97914
Paradise Found	10735 NE HALSEY ST	PORTLAND	OR	97220
Tree House Collective LLC	2419 NE Sandy BLVD	Portland	OR	97232
Urban Farmacy	420 NE 60TH AVENUE	PORTLAND	OR	97213
Kaleafa	10920 SW BEAVERTON HILLSDALE HWY.	BEAVERTON	OR	97005
Mr. Nice Guy Medford (DF)	609 E. JACKSON STREET	MEDFORD	OR	97504
Truth Dispensary #4	1025 Lancaster Dr SE	Salem	OR	97317
Truth 2 INC.	2345 Center St NE	Salem	OR	97301
Sensible Cannabis Company (DF)	3338 N PACIFIC HWY	MEDFORD	OR	97504
Track Town Collective (DF)	3675 FRANKLIN BLVD	EUGENE	OR	97403
Top Crop Cannabis Corvalis (DF)	1945 NW 9TH ST	CORVALLIS	OR	97330
Bahama Buds (DF)	1088 S HEMLOCK ST	CANNON BEACH	OR	97110
THUR'S SMOKE SHOP LLC	502 SE 16TH ST	PENDLETON	OR	97801
The Weeds	S Santiam Hwy	Lebanon	OR	97355
Hotbox Farms	325 NE GOODFELLOW STREET	ONTARIO	OR	97914
420 Club LLC (DF)	2566 NE STEPHENS ST	ROSEBURG	OR	97470
T.E.R.P Collective INC (DF)	4355 NE HWY 101 SUITE A	LINCOLN CITY	OR	97367
High Winds	1817 CASCADE AVE	HOOD RIVER	OR	97031
Pole Enterprises	56821 Columbia River Hwy	WARREN	OR	97053
Sweet Relief Gearhart (DF)	4210 HWY 101 N.	GEARHART	OR	97138
Sweet Relief Gearhart (DF)	1444 COMMERCIAL ST.	ASTORIA	OR	97103
Sweet Relief Gearhart (DF)	52515 COLUMBIA RIVER HWY	SCAPPOOSE	OR	97056
Sweet Relief Gearhart (DF)	1809 COLUMBIA BLVD	ST. HELENS	OR	97051
Sweet Relief Gearhart (DF)	1906 1ST ST.	TILLAMOOK	OR	97141
Stinkin BudZ LLC	1040 Commercial St SE	Salem	OR	97302
Stokes Cannabis Dispensary	4570 River Rd Keizer OR 97303	Keizer	OR	97303
Smoke On The Mountain LLC	23860 E ARRAH WANNA BLVD	WELCHES	OR	97067
POPS - Port Orford Dispensary (DF)	264 Sixth St. Unit A	Port Orford	OR	97465
The Herb Center	2205 NE DIVISION STREET SUITE 150	BEND	OR	97703
S & S Emporium (DF)	294 CENTRAL	COOS BAY	OR	97420
Hashstoria Springfield	1840 MAIN ST	SPRINGFIELD	OR	97477
Speedy Jane's	733 SW DENNIS AVE	HILLSBORO	OR	97123
Spacebuds The Dispensary (DF)	741 LINCOLN STREET	EUGENE	OR	97401
South Coast Dispensaries and More (DF)	1025 CHETCO AVE #4	BROOKINGS	OR	97415
Hall of Strains	2595 STATE ST	SALEM	OR	97301
Smiles (DF)	655 NE CHESTNUT AVE	ROSEBURG	OR	97470
